id,card_type,card_number,expire_month,expire_year,cvv,user_id
1,VISA_CARD,4267824638572849,5,2023,347,23
2,MASTER_CARD,5421036985123476,10,2025,521,58
3,AMERICAN_EXPRESS_CARD,4987654321098765,2,2024,689,79
4,VISA_CARD,5756123984567890,7,2021,073,45
5,MASTER_CARD,4345667890123456,3,2026,902,12
6,VISA_CARD,5432890123456789,9,2022,156,34
7,VISA_CARD,4556789012345678,12,2023,825,91
8,AMERICAN_EXPRESS_CARD,5109876543210987,8,2025,468,67
9,VISA_CARD,5778901234567890,4,2024,731,18
10,MASTER_CARD,4956789012345678,1,2022,210,42
11,AMERICAN_EXPRESS_CARD,4998765432109876,6,2021,684,87
12,VISA_CARD,4432109876543210,11,2026,135,59
13,VISA_CARD,5876789012345678,3,2023,957,6
14,MASTER_CARD,5098765432109876,9,2024,826,72
15,VISA_CARD,4865432109876543,7,2022,401,37
16,AMERICAN_EXPRESS_CARD,4167890123456789,6,2025,597,95
17,MASTER_CARD,5332109876543210,8,2021,249,26
18,VISA_CARD,5254321098765432,2,2026,811,63
19,AMERICAN_EXPRESS_CARD,4109876543210987,1,2023,684,9
20,VISA_CARD,5678901234567890,4,2024,932,54
21,VISA_CARD,4309876543210987,10,2022,078,81
22,MASTER_CARD,5654321098765432,11,2025,255,39
23,VISA_CARD,4578901234567890,5,2021,602,76
24,AMERICAN_EXPRESS_CARD,5843210987654321,12,2026,419,4
25,MASTER_CARD,5478901234567890,7,2024,738,29
26,VISA_CARD,5167890123456789,6,2022,084,70
27,VISA_CARD,4234567890123456,4,2023,356,14
28,AMERICAN_EXPRESS_CARD,5932109876543210,9,2025,641,50
29,VISA_CARD,4809876543210987,2,2021,129,83
30,MASTER_CARD,4067890123456789,1,2026,843,20
31,MASTER_CARD,4210987654321098,8,2024,570,64
32,VISA_CARD,5689012345678901,3,2023,112,3
33,AMERICAN_EXPRESS_CARD,4932109876543210,10,2025,687,97
34,VISA_CARD,4554321098765432,11,2021,398,47
35,MASTER_CARD,4032109876543210,5,2022,761,75
36,VISA_CARD,5943210987654321,12,2026,902,10
37,AMERICAN_EXPRESS_CARD,5332109876543210,6,2024,158,56
38,VISA_CARD,4123456789012345,7,2025,620,85
39,MASTER_CARD,5743210987654321,2,2023,409,31
40,VISA_CARD,5478901234567890,8,2022,873,69
41,VISA_CARD,5221098765432109,4,2021,019,16
42,AMERICAN_EXPRESS_CARD,4345678901234567,1,2024,486,98
43,MASTER_CARD,5076543210987654,9,2026,205,52
44,VISA_CARD,5667890123456789,3,2025,710,77
45,AMERICAN_EXPRESS_CARD,4019876543210987,11,2023,954,21
46,VISA_CARD,4209876543210987,10,2022,326,60
47,MASTER_CARD,5110987654321098,5,2021,572,88
48,VISA_CARD,4287654321098765,12,2024,693,44
